x,y
6,-1
6,-1
6,-1
7,-2
7,-2
7,-2
0,0
6,-1
6,-1
6,-1
7,-2
7,-2
7,-2
0,0
6,-1
6,-1
6,-1
7,-2
7,-2
7,-3
0,0
6,-1
6,-1
7,-2
7,-2
7,-2
7,-3
0,0
6,-1
6,-1
7,-2
7,-2
7,-2
7,-3
0,0
6,-1
6,-1
7,-2
7,-2
7,-3
8,-3
1,0
6,-1
6,-1
7,-2
7,-2
7,-3
8,-3
1,0
6,-1
6,-1
7,-2
7,-2
8,-3
8,-4
1,0
6,-1
7,-2
7,-2
7,-3
8,-4
8,-4
1,0
6,-1
7,-2
7,-3
8,-3
8,-4
9,-5
1,-1
6,-1
7,-2
8,-3
8,-4
9,-6
10,-7
1,-1
7,-2
8,-3
9,-5
10,-7
12,-10
20,-21
8,-11
x,y
-7,18
2,5
5,1
6,-1
8,-4
13,-11
6,-8
-7,19
2,5
4,2
6,-1
8,-4
12,-10
1,-1
-3,12
2,5
4,3
5,0
7,-3
9,-5
-1,9
2,5
3,3
5,1
6,-1
6,-2
0,8
2,6
3,4
4,3
5,1
4,0
0,8
1,6
2,5
3,4
4,3
2,1
0,8
1,7
2,6
2,5
3,4
1,1
0,9
0,7
1,7
2,6
2,5
0,0
-1,9
0,8
0,8
1,7
1,5
-1,10
-1,9
0,9
0,8
0,4
-2,11
-2,11
-1,10
-1,9
0,3
-3,12
-3,12
-2,11
-2,10
0,2
-4,13
-3,12
-3,12
-3,11
0,1
-5,14
-4,13
-4,13
-3,12
0,1
-5,14
-5,14
-4,13
-4,13
0,1
-6,14
-5,14
-5,13
-5,13
-1,3
-6,14
-6,13
-5,13
-5,13
-2,6
-6,13
-6,13
-6,13
-5,12
-4,9
-6,13
-6,12
-6,12
-5,12
-5,12
0,1
-6,12
-6,12
-6,12
-6,12
-5,11
-2,5
-6,11
-6,11
-6,11
-6,11
-5,11
-4,9
